STATEFIPS,STATE,zipcode,agi_stub,N02650,A02650
1,AL,0,1,870380,11444868
1,AL,0,2,490960,17810952
1,AL,0,3,258810,16070153
1,AL,0,4,163290,14288572
1,AL,0,5,192050,26053920
1,AL,0,6,46890,20752068
1,AL,35004,1,1530,19851
1,AL,35004,2,1330,49338
1,AL,35004,3,910,56170
1,AL,35004,4,610,52977
1,AL,35004,5,510,64329
1,AL,35004,6,40,15359
1,AL,35005,1,1390,19011
1,AL,35005,2,1030,36996
1,AL,35005,3,470,28664
1,AL,35005,4,230,19583
1,AL,35005,5,180,25136
1,AL,35005,6,0,0
1,AL,35006,1,440,5515
1,AL,35006,2,330,11906
1,AL,35006,3,190,11854
1,AL,35006,4,130,10911
1,AL,35006,5,140,18399
1,AL,35006,6,0,0
1,AL,35007,1,4300,52779
1,AL,35007,2,2680,98951
1,AL,35007,3,1870,116810
1,AL,35007,4,1390,122214
1,AL,35007,5,1550,202491
1,AL,35007,6,200,58105
1,AL,35010,1,4090,55178
1,AL,35010,2,2130,74726
1,AL,35010,3,900,56040
1,AL,35010,4,530,45809
1,AL,35010,5,520,68277
1,AL,35010,6,150,82076
1,AL,35014,1,680,9279
1,AL,35014,2,480,17279
1,AL,35014,3,200,12248
1,AL,35014,4,140,12077
1,AL,35014,5,110,17002
1,AL,35014,6,0,0
1,AL,35016,1,2920,36162
1,AL,35016,2,1670,61426
1,AL,35016,3,1040,64796
1,AL,35016,4,670,58080
1,AL,35016,5,620,80902
1,AL,35016,6,110,31860
1,AL,35019,1,420,5334
1,AL,35019,2,260,8933
1,AL,35019,3,130,7919
1,AL,35019,4,60,5015
1,AL,35019,5,60,8191
1,AL,35019,6,0,0
1,AL,35020,1,6310,86277
1,AL,35020,2,2570,89983
1,AL,35020,3,680,41247
1,AL,35020,4,240,20544
1,AL,35020,5,170,24424
1,AL,35020,6,0,0
1,AL,35022,1,3280,42500
1,AL,35022,2,2290,85238
1,AL,35022,3,1470,91454
1,AL,35022,4,990,86327
1,AL,35022,5,1310,172554
1,AL,35022,6,150,43466
1,AL,35023,1,3770,50349
1,AL,35023,2,2920,106684
1,AL,35023,3,1570,96695
1,AL,35023,4,980,85148
1,AL,35023,5,910,116039
1,AL,35023,6,80,25543
1,AL,35031,1,1380,18019
1,AL,35031,2,830,29919
1,AL,35031,3,390,23769
1,AL,35031,4,230,19829
1,AL,35031,5,140,20616
1,AL,35031,6,0,0
1,AL,35033,1,510,6616
1,AL,35033,2,340,12423
1,AL,35033,3,210,13193
1,AL,35033,4,140,11856
1,AL,35033,5,140,23349
1,AL,35033,6,0,0
1,AL,35034,1,730,9803
1,AL,35034,2,410,14473
1,AL,35034,3,150,9543
1,AL,35034,4,80,7046
1,AL,35034,5,70,11165
1,AL,35034,6,0,0
1,AL,35035,1,240,2966
1,AL,35035,2,130,4932
1,AL,35035,3,80,5070
1,AL,35035,4,40,3593
1,AL,35035,5,60,14981
1,AL,35035,6,0,0
1,AL,35040,1,2320,30584
1,AL,35040,2,2050,77085
1,AL,35040,3,1300,80393
1,AL,35040,4,740,64823
1,AL,35040,5,650,82717
1,AL,35040,6,70,24266
1,AL,35042,1,970,12988
1,AL,35042,2,550,20034
1,AL,35042,3,320,19866
1,AL,35042,4,180,16043
1,AL,35042,5,200,27572
1,AL,35042,6,0,0
1,AL,35043,1,1230,14148
1,AL,35043,2,790,30072
1,AL,35043,3,650,41357
1,AL,35043,4,620,54124
1,AL,35043,5,1060,143594
1,AL,35043,6,200,80648
1,AL,35044,1,1530,19708
1,AL,35044,2,810,29017
1,AL,35044,3,390,24288
1,AL,35044,4,240,20564
1,AL,35044,5,170,22299
1,AL,35044,6,20,8530
1,AL,35045,1,2610,34471
1,AL,35045,2,1470,53454
1,AL,35045,3,710,43868
1,AL,35045,4,430,37682
1,AL,35045,5,380,49893
1,AL,35045,6,50,17404
1,AL,35046,1,1000,12947
1,AL,35046,2,630,22847
1,AL,35046,3,340,21080
1,AL,35046,4,240,20873
1,AL,35046,5,240,30991
1,AL,35046,6,30,11165
1,AL,35049,1,580,7441
1,AL,35049,2,410,15038
1,AL,35049,3,270,17122
1,AL,35049,4,160,14230
1,AL,35049,5,120,17931
1,AL,35049,6,0,0
1,AL,35051,1,1430,18327
1,AL,35051,2,790,28657
1,AL,35051,3,430,26929
1,AL,35051,4,320,28500
1,AL,35051,5,350,46900
1,AL,35051,6,80,37174
1,AL,35053,1,360,4651
1,AL,35053,2,250,9196
1,AL,35053,3,160,9822
1,AL,35053,4,110,10050
1,AL,35053,5,100,13378
1,AL,35053,6,30,8986
1,AL,35054,1,640,7931
1,AL,35054,2,370,13721
1,AL,35054,3,250,15545
1,AL,35054,4,180,15951
1,AL,35054,5,240,32562
1,AL,35054,6,50,23349
1,AL,35055,1,3270,42354
1,AL,35055,2,2010,73049
1,AL,35055,3,1050,64969
1,AL,35055,4,640,55367
1,AL,35055,5,600,78526
1,AL,35055,6,150,52831
1,AL,35057,1,2110,27112
1,AL,35057,2,1270,46220
1,AL,35057,3,710,43883
1,AL,35057,4,430,37580
1,AL,35057,5,450,59079
1,AL,35057,6,90,33838
1,AL,35058,1,1750,22584
1,AL,35058,2,1070,38728
1,AL,35058,3,590,36476
1,AL,35058,4,360,31570
1,AL,35058,5,280,36661
1,AL,35058,6,80,27481
1,AL,35061,1,310,4266
1,AL,35061,2,190,6688
1,AL,35061,3,80,4634
1,AL,35061,4,40,3292
1,AL,35061,5,30,3458
1,AL,35061,6,0,0
1,AL,35062,1,1180,15309
1,AL,35062,2,760,27927
1,AL,35062,3,530,33054
1,AL,35062,4,330,29153
1,AL,35062,5,390,50322
1,AL,35062,6,30,10991
1,AL,35063,1,520,6819
1,AL,35063,2,360,13056
1,AL,35063,3,200,12305
1,AL,35063,4,100,8794
1,AL,35063,5,70,9912
1,AL,35063,6,0,0
1,AL,35064,1,2530,34953
1,AL,35064,2,1290,45730
1,AL,35064,3,500,30608
1,AL,35064,4,210,18362
1,AL,35064,5,190,24191
1,AL,35064,6,20,4955
1,AL,35068,1,1250,16648
1,AL,35068,2,1170,43239
1,AL,35068,3,560,34484
1,AL,35068,4,310,26631
1,AL,35068,5,280,34452
1,AL,35068,6,30,8677
1,AL,35071,1,2340,29835
1,AL,35071,2,1800,66749
1,AL,35071,3,1140,70433
1,AL,35071,4,830,72528
1,AL,35071,5,1030,135809
1,AL,35071,6,150,54471
1,AL,35072,1,870,12355
1,AL,35072,2,560,19669
1,AL,35072,3,210,12977
1,AL,35072,4,130,11007
1,AL,35072,5,70,10687
1,AL,35072,6,0,0
1,AL,35073,1,430,6077
1,AL,35073,2,310,11329
1,AL,35073,3,150,9477
1,AL,35073,4,70,5907
1,AL,35073,5,40,5689
1,AL,35073,6,0,0
1,AL,35077,1,2220,28645
1,AL,35077,2,1420,51429
1,AL,35077,3,740,45607
1,AL,35077,4,340,29539
1,AL,35077,5,280,36013
1,AL,35077,6,30,12076
1,AL,35078,1,410,5261
1,AL,35078,2,220,7626
1,AL,35078,3,110,7064
1,AL,35078,4,80,6966
1,AL,35078,5,90,16472
1,AL,35078,6,0,0
1,AL,35079,1,1160,14782
1,AL,35079,2,860,31572
1,AL,35079,3,650,39797
1,AL,35079,4,410,35540
1,AL,35079,5,290,36249
1,AL,35079,6,30,10422
1,AL,35080,1,1930,22895
1,AL,35080,2,1400,52869
1,AL,35080,3,1200,75385
1,AL,35080,4,1010,88494
1,AL,35080,5,1490,198557
1,AL,35080,6,180,59400
1,AL,35083,1,570,7181
1,AL,35083,2,320,12027
1,AL,35083,3,160,10150
1,AL,35083,4,80,7184
1,AL,35083,5,80,12485
1,AL,35083,6,0,0
1,AL,35085,1,1420,19372
1,AL,35085,2,910,32773
1,AL,35085,3,490,30301
1,AL,35085,4,260,23089
1,AL,35085,5,240,30117
1,AL,35085,6,30,7609
1,AL,35087,1,380,4728
1,AL,35087,2,230,8281
1,AL,35087,3,110,6854
1,AL,35087,4,70,5780
1,AL,35087,5,50,5850
1,AL,35087,6,0,0
1,AL,35089,1,410,5715
1,AL,35089,2,240,8511
1,AL,35089,3,80,4726
1,AL,35089,4,40,4153
1,AL,35089,5,0,0
1,AL,35089,6,0,0
1,AL,35091,1,310,3621
1,AL,35091,2,190,6956
1,AL,35091,3,200,12609
1,AL,35091,4,190,16622
1,AL,35091,5,230,30848
1,AL,35091,6,0,0
1,AL,35094,1,2470,32350
1,AL,35094,2,1640,60032
1,AL,35094,3,940,58457
1,AL,35094,4,590,51321
1,AL,35094,5,620,80970
1,AL,35094,6,110,51655
1,AL,35096,1,1350,18119
1,AL,35096,2,990,35603
1,AL,35096,3,470,29363
1,AL,35096,4,290,24919
1,AL,35096,5,250,31295
1,AL,35096,6,40,17612
1,AL,35097,1,260,3358
1,AL,35097,2,190,7174
1,AL,35097,3,140,8333
1,AL,35097,4,90,7855
1,AL,35097,5,60,7525
1,AL,35097,6,0,0
1,AL,35098,1,240,3398
1,AL,35098,2,140,5147
1,AL,35098,3,80,4776
1,AL,35098,4,50,4201
1,AL,35098,5,40,4710
1,AL,35098,6,0,0
1,AL,35111,1,1980,24540
1,AL,35111,2,1480,55130
1,AL,35111,3,1170,72606
1,AL,35111,4,970,85349
1,AL,35111,5,1110,143853
1,AL,35111,6,130,39805
1,AL,35114,1,950,11272
1,AL,35114,2,560,20616
1,AL,35114,3,450,28393
1,AL,35114,4,370,32174
1,AL,35114,5,540,71179
1,AL,35114,6,60,17861
1,AL,35115,1,2420,31069
1,AL,35115,2,1270,45970
1,AL,35115,3,700,43300
1,AL,35115,4,380,32946
1,AL,35115,5,360,46727
1,AL,35115,6,50,14093
1,AL,35116,1,620,8004
1,AL,35116,2,490,18253
1,AL,35116,3,310,19304
1,AL,35116,4,230,19910
1,AL,35116,5,280,36870
1,AL,35116,6,30,7782
1,AL,35117,1,760,9514
1,AL,35117,2,650,24122
1,AL,35117,3,460,28598
1,AL,35117,4,380,33093
1,AL,35117,5,390,51111
1,AL,35117,6,50,15037
1,AL,35118,1,530,7066
1,AL,35118,2,370,13194
1,AL,35118,3,200,12099
1,AL,35118,4,140,12137
1,AL,35118,5,140,18352
1,AL,35118,6,0,0
1,AL,35120,1,1990,25820
1,AL,35120,2,1440,52954
1,AL,35120,3,970,60504
1,AL,35120,4,640,56336
1,AL,35120,5,550,70190
1,AL,35120,6,50,15271
1,AL,35121,1,2540,33672
1,AL,35121,2,1500,54558
1,AL,35121,3,860,53320
1,AL,35121,4,450,39015
1,AL,35121,5,470,60235
1,AL,35121,6,100,50141
1,AL,35124,1,3570,42226
1,AL,35124,2,2600,96846
1,AL,35124,3,1700,105960
1,AL,35124,4,1260,110435
1,AL,35124,5,1920,262196
1,AL,35124,6,480,192564
1,AL,35125,1,1890,24583
1,AL,35125,2,1210,43328
1,AL,35125,3,620,37951
1,AL,35125,4,330,28437
1,AL,35125,5,260,31940
1,AL,35125,6,30,13726
1,AL,35126,1,3240,40847
1,AL,35126,2,2450,90983
1,AL,35126,3,1620,101133
1,AL,35126,4,1020,89067
1,AL,35126,5,1120,143936
1,AL,35126,6,110,33355
1,AL,35127,1,1470,18705
1,AL,35127,2,1150,42752
1,AL,35127,3,760,46970
1,AL,35127,4,420,36676
1,AL,35127,5,460,59049
1,AL,35127,6,30,9681
1,AL,35128,1,1430,18370
1,AL,35128,2,930,33967
1,AL,35128,3,590,36611
1,AL,35128,4,430,37711
1,AL,35128,5,480,63570
1,AL,35128,6,90,30894
1,AL,35130,1,530,7186
1,AL,35130,2,320,11771
1,AL,35130,3,180,11102
1,AL,35130,4,110,9301
1,AL,35130,5,90,12425
1,AL,35130,6,0,0
1,AL,35131,1,660,8788
1,AL,35131,2,440,15852
1,AL,35131,3,210,13277
1,AL,35131,4,130,10847
1,AL,35131,5,90,11977
1,AL,35131,6,0,0
1,AL,35133,1,600,7599
1,AL,35133,2,410,14805
1,AL,35133,3,270,17058
1,AL,35133,4,150,13478
1,AL,35133,5,140,18866
1,AL,35133,6,0,0
1,AL,35135,1,300,3790
1,AL,35135,2,200,7227
1,AL,35135,3,140,8722
1,AL,35135,4,80,6935
1,AL,35135,5,100,14289
1,AL,35135,6,0,0
1,AL,35136,1,270,3331
1,AL,35136,2,200,7094
1,AL,35136,3,110,6901
1,AL,35136,4,60,5338
1,AL,35136,5,50,6153
1,AL,35136,6,0,0
1,AL,35143,1,490,6353
1,AL,35143,2,290,10621
1,AL,35143,3,170,10404
1,AL,35143,4,100,8935
1,AL,35143,5,140,22426
1,AL,35143,6,0,0
1,AL,35146,1,1410,17448
1,AL,35146,2,970,35779
1,AL,35146,3,740,46094
1,AL,35146,4,530,46795
1,AL,35146,5,630,83601
1,AL,35146,6,90,28630
1,AL,35147,1,650,8033
1,AL,35147,2,470,17755
1,AL,35147,3,380,23678
1,AL,35147,4,300,26150
1,AL,35147,5,380,50533
1,AL,35147,6,60,21066
1,AL,35148,1,490,6238
1,AL,35148,2,320,11405
1,AL,35148,3,170,10549
1,AL,35148,4,100,8702
1,AL,35148,5,80,11003
1,AL,35148,6,0,0
1,AL,35150,1,3470,45264
1,AL,35150,2,1900,68313
1,AL,35150,3,890,54535
1,AL,35150,4,500,42970
1,AL,35150,5,460,59117
1,AL,35150,6,60,21630
1,AL,35151,1,1110,14178
1,AL,35151,2,770,28236
1,AL,35151,3,460,28602
1,AL,35151,4,290,25409
1,AL,35151,5,240,30309
1,AL,35151,6,30,7701
1,AL,35160,1,4740,63688
1,AL,35160,2,2700,95918
1,AL,35160,3,1210,74291
1,AL,35160,4,570,49548
1,AL,35160,5,480,61233
1,AL,35160,6,90,30891
1,AL,35171,1,470,6229
1,AL,35171,2,340,12473
1,AL,35171,3,240,15084
1,AL,35171,4,140,12005
1,AL,35171,5,140,18604
1,AL,35171,6,0,0
1,AL,35172,1,510,6586
1,AL,35172,2,320,11781
1,AL,35172,3,200,12590
1,AL,35172,4,90,7669
1,AL,35172,5,50,6970
1,AL,35172,6,0,0
1,AL,35173,1,3450,40441
1,AL,35173,2,2170,80794
1,AL,35173,3,1800,112781
1,AL,35173,4,1580,139260
1,AL,35173,5,2550,344324
1,AL,35173,6,580,218628
1,AL,35175,1,770,9698
1,AL,35175,2,520,19045
1,AL,35175,3,310,19193
1,AL,35175,4,200,17507
1,AL,35175,5,240,31154
1,AL,35175,6,40,14853
1,AL,35176,1,150,1949
1,AL,35176,2,100,3811
1,AL,35176,3,40,2380
1,AL,35176,4,50,6232
1,AL,35176,5,0,0
1,AL,35176,6,0,0
1,AL,35178,1,640,8488
1,AL,35178,2,400,14462
1,AL,35178,3,200,12192
1,AL,35178,4,120,10051
1,AL,35178,5,110,16749
1,AL,35178,6,0,0
1,AL,35179,1,1530,19812
1,AL,35179,2,1080,39708
1,AL,35179,3,530,32500
1,AL,35179,4,310,27177
1,AL,35179,5,260,33914
1,AL,35179,6,50,18645
1,AL,35180,1,1880,23910
1,AL,35180,2,1430,52690
1,AL,35180,3,900,55753
1,AL,35180,4,680,59637
1,AL,35180,5,650,82380
1,AL,35180,6,60,23041
1,AL,35183,1,120,1395
1,AL,35183,2,80,2920
1,AL,35183,3,40,2581
1,AL,35183,4,30,2163
1,AL,35183,5,30,3116
1,AL,35183,6,0,0
1,AL,35184,1,870,11593
1,AL,35184,2,580,21363
1,AL,35184,3,330,20569
1,AL,35184,4,170,14653
1,AL,35184,5,160,22084
1,AL,35184,6,0,0
1,AL,35186,1,690,8822
1,AL,35186,2,430,16022
1,AL,35186,3,290,18212
1,AL,35186,4,220,18840
1,AL,35186,5,280,37800
1,AL,35186,6,60,20370
1,AL,35188,1,360,4553
1,AL,35188,2,260,9398
1,AL,35188,3,210,13225
1,AL,35188,4,150,12622
1,AL,35188,5,140,20380
1,AL,35188,6,0,0
1,AL,35203,1,620,7977
1,AL,35203,2,300,10876
1,AL,35203,3,120,7525
1,AL,35203,4,80,7281
1,AL,35203,5,110,15729
1,AL,35203,6,80,65045
1,AL,35204,1,2750,36748
1,AL,35204,2,910,31159
1,AL,35204,3,230,13701
1,AL,35204,4,80,6424
1,AL,35204,5,50,6566
1,AL,35204,6,0,0
1,AL,35205,1,3890,52017
1,AL,35205,2,2340,83592
1,AL,35205,3,720,44752
1,AL,35205,4,320,28050
1,AL,35205,5,420,59481
1,AL,35205,6,240,137787
1,AL,35206,1,4010,54939
1,AL,35206,2,1880,66329
1,AL,35206,3,620,37595
1,AL,35206,4,230,19409
1,AL,35206,5,160,23455
1,AL,35206,6,0,0
1,AL,35207,1,2360,32645
1,AL,35207,2,850,29254
1,AL,35207,3,220,13390
1,AL,35207,4,70,5610
1,AL,35207,5,40,5139
1,AL,35207,6,0,0
1,AL,35208,1,3810,53282
1,AL,35208,2,1790,62736
1,AL,35208,3,470,28374
1,AL,35208,4,170,14320
1,AL,35208,5,100,14405
1,AL,35208,6,0,0
1,AL,35209,1,4550,59033
1,AL,35209,2,2920,106624
1,AL,35209,3,1440,89159
1,AL,35209,4,920,81266
1,AL,35209,5,1610,226728
1,AL,35209,6,870,410851
1,AL,35210,1,2540,33936
1,AL,35210,2,1800,66059
1,AL,35210,3,1020,63195
1,AL,35210,4,540,47262
1,AL,35210,5,630,84206
1,AL,35210,6,140,50475
1,AL,35211,1,7070,96224
1,AL,35211,2,2920,103199
1,AL,35211,3,910,55339
1,AL,35211,4,380,32706
1,AL,35211,5,270,34209
1,AL,35211,6,50,13792
1,AL,35212,1,3060,41262
1,AL,35212,2,1160,41373
1,AL,35212,3,370,22763
1,AL,35212,4,200,17163
1,AL,35212,5,180,23400
1,AL,35212,6,30,9271
1,AL,35213,1,1670,18352
1,AL,35213,2,1110,42285
1,AL,35213,3,730,45617
1,AL,35213,4,510,45182
1,AL,35213,5,1140,164397
1,AL,35213,6,1600,978158
1,AL,35214,1,3970,54148
1,AL,35214,2,2460,89066
1,AL,35214,3,1080,65878
1,AL,35214,4,500,43416
1,AL,35214,5,400,51257
1,AL,35214,6,30,6891
1,AL,35215,1,10460,144871
1,AL,35215,2,5960,213670
1,AL,35215,3,2270,137961
1,AL,35215,4,940,81472
1,AL,35215,5,690,86579
1,AL,35215,6,40,9655
1,AL,35216,1,6200,80775
1,AL,35216,2,4150,151539
1,AL,35216,3,1980,122568
1,AL,35216,4,1310,115367
1,AL,35216,5,2280,320119
1,AL,35216,6,1130,546366
1,AL,35217,1,3110,42500
1,AL,35217,2,1470,51510
1,AL,35217,3,470,28371
1,AL,35217,4,220,18898
1,AL,35217,5,160,27186
1,AL,35217,6,0,0
1,AL,35218,1,1910,26592
1,AL,35218,2,740,25512
1,AL,35218,3,170,9912
1,AL,35218,4,40,3359
1,AL,35218,5,20,3102
1,AL,35218,6,0,0
1,AL,35221,1,1220,16423
1,AL,35221,2,560,19652
1,AL,35221,3,150,9251
1,AL,35221,4,40,3307
1,AL,35221,5,30,3215
